Most Recent Health Inspection More Than 2 Years Ago,Overall Rating,Health Inspection Rating,Staffing Rating,RN Staffing Rating,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,performance_id
False,4.0,3.0,2.0,4.0,47.333,5,1,0,$0.00,0,0,212
False,4.0,4.0,4.0,5.0,35.2,6,8,0,$0.00,0,0,213
False,5.0,5.0,4.0,4.0,10.4,0,1,0,$0.00,0,0,214
False,2.0,2.0,3.0,3.0,32.0,1,1,1,$24863.00,0,1,215
False,5.0,5.0,4.0,4.0,2.0,0,0,0,$0.00,0,0,216
False,4.0,3.0,4.0,5.0,20.0,1,1,2,$16640.00,0,2,217
False,4.0,3.0,4.0,5.0,18.0,0,0,0,$0.00,0,0,218
False,2.0,2.0,2.0,1.0,44.667,0,1,1,$2000.00,0,1,219
False,2.0,1.0,4.0,4.0,86.0,2,5,3,$6302.00,0,3,220
False,5.0,5.0,3.0,5.0,1.333,0,0,0,$0.00,0,0,221
False,1.0,1.0,4.0,4.0,52.667,2,1,0,$0.00,0,0,222
False,2.0,2.0,3.0,3.0,30.0,0,2,2,$45110.00,0,2,223
False,5.0,5.0,5.0,5.0,1.333,0,0,0,$0.00,0,0,224
False,4.0,3.0,4.0,4.0,26.0,0,0,1,$1235.00,0,1,225
False,3.0,2.0,4.0,5.0,33.333,0,0,0,$0.00,0,0,226
False,4.0,4.0,3.0,4.0,8.667,1,0,1,$1625.00,0,1,227
False,3.0,2.0,4.0,4.0,38.0,2,7,0,$0.00,0,0,228
False,3.0,2.0,4.0,5.0,27.333,0,0,1,$17160.00,0,1,229
False,5.0,4.0,3.0,2.0,8.0,0,0,0,$0.00,0,0,230
False,3.0,2.0,5.0,5.0,35.333,0,0,1,$40748.00,0,1,231
False,4.0,4.0,2.0,4.0,10.667,0,0,0,$0.00,0,0,232
False,2.0,1.0,4.0,5.0,82.333,1,1,1,$23563.00,0,1,233
False,4.0,3.0,4.0,4.0,15.333,1,2,0,$0.00,0,0,234
False,5.0,5.0,,,0.0,0,0,0,$0.00,0,0,235
False,3.0,2.0,4.0,5.0,46.0,3,0,1,$66000.00,0,1,236
False,4.0,4.0,4.0,5.0,8.667,0,0,0,$0.00,0,0,237
False,5.0,5.0,3.0,4.0,3.333,1,0,0,$0.00,0,0,238
False,5.0,4.0,5.0,5.0,8.667,1,0,0,$0.00,0,0,239
False,5.0,4.0,4.0,5.0,12.667,0,0,1,$2500.00,0,1,240
False,4.0,3.0,4.0,4.0,26.0,0,0,0,$0.00,0,0,241
False,5.0,3.0,5.0,5.0,14.4,0,0,0,$0.00,0,0,242
False,3.0,3.0,5.0,5.0,51.833,1,0,0,$0.00,0,0,243
False,4.0,4.0,3.0,3.0,28.0,4,1,0,$0.00,0,0,244
False,3.0,2.0,4.0,4.0,87.667,0,4,1,$18720.00,1,2,245
False,4.0,4.0,3.0,3.0,40.0,1,1,0,$0.00,0,0,246
False,3.0,3.0,3.0,4.0,61.333,2,3,0,$0.00,0,0,247
False,1.0,1.0,3.0,3.0,119.333,11,31,3,$43583.00,0,3,248
False,5.0,4.0,5.0,5.0,35.5,3,0,1,$3900.00,0,1,249
False,3.0,2.0,4.0,4.0,79.333,18,2,0,$0.00,0,0,250
False,5.0,5.0,3.0,2.0,17.333,0,0,0,$0.00,0,0,251
False,4.0,2.0,4.0,3.0,75.167,3,1,2,$18948.00,0,2,252
False,4.0,3.0,4.0,3.0,57.5,1,2,1,$24245.00,1,2,253
False,3.0,4.0,4.0,4.0,28.0,5,0,1,$8550.00,1,2,254
False,5.0,4.0,5.0,5.0,29.333,1,0,0,$0.00,0,0,255
False,1.0,2.0,1.0,1.0,87.333,1,14,1,$9653.00,0,1,256
False,4.0,3.0,4.0,5.0,48.667,5,12,0,$0.00,0,0,257
False,2.0,2.0,2.0,2.0,94.0,12,5,2,$26195.00,0,2,258
False,4.0,4.0,1.0,2.0,30.667,0,3,1,$2503.00,0,1,259
False,4.0,5.0,1.0,1.0,10.667,0,0,0,$0.00,0,0,260
False,2.0,2.0,2.0,3.0,82.0,10,11,2,$26650.00,0,2,261
False,5.0,4.0,5.0,5.0,32.667,2,0,0,$0.00,0,0,262
False,3.0,2.0,4.0,3.0,74.0,1,11,1,$5720.00,0,1,263
False,3.0,3.0,2.0,3.0,49.333,2,5,0,$0.00,0,0,264
False,5.0,3.0,4.0,4.0,47.333,0,5,0,$0.00,0,0,265
False,4.0,4.0,4.0,5.0,24.667,0,0,0,$0.00,0,0,266
False,5.0,5.0,4.0,4.0,10.0,0,0,0,$0.00,0,0,267
False,1.0,1.0,2.0,2.0,70.333,0,0,0,$0.00,0,0,268
False,3.0,2.0,4.0,4.0,42.0,0,0,0,$0.00,0,0,269
False,1.0,1.0,3.0,3.0,68.0,1,1,0,$0.00,0,0,270
False,2.0,1.0,5.0,5.0,93.0,0,2,1,$26488.00,0,1,271
False,3.0,2.0,4.0,3.0,49.667,0,0,0,$0.00,0,0,272
False,2.0,2.0,4.0,5.0,37.0,0,1,0,$0.00,0,0,273
False,5.0,5.0,3.0,4.0,4.667,0,0,0,$0.00,0,0,274
False,1.0,1.0,3.0,4.0,101.333,0,2,3,$9700.00,0,3,275
False,4.0,3.0,4.0,5.0,34.667,0,1,0,$0.00,0,0,276
False,4.0,4.0,3.0,3.0,14.667,0,2,0,$0.00,0,0,277
False,2.0,3.0,3.0,3.0,18.667,0,0,0,$0.00,0,0,278
False,5.0,3.0,4.0,3.0,28.0,0,1,0,$0.00,0,0,279
False,3.0,3.0,2.0,3.0,26.667,1,0,0,$0.00,0,0,280
False,3.0,3.0,4.0,4.0,20.0,0,1,0,$0.00,0,0,281
False,4.0,4.0,3.0,3.0,18.667,1,0,0,$0.00,0,0,282
False,4.0,3.0,4.0,3.0,28.0,0,0,0,$0.00,0,0,283
False,4.0,3.0,4.0,3.0,40.667,1,1,0,$0.00,0,0,284
False,4.0,3.0,4.0,4.0,28.667,0,0,0,$0.00,0,0,285
False,4.0,2.0,4.0,4.0,48.667,0,1,0,$0.00,0,0,286
False,2.0,1.0,4.0,4.0,126.167,0,3,1,$11765.00,1,2,287
False,5.0,5.0,5.0,5.0,14.0,0,0,0,$0.00,0,0,288
False,5.0,5.0,4.0,4.0,6.667,0,0,0,$0.00,0,0,289
False,5.0,4.0,5.0,5.0,22.667,0,1,0,$0.00,0,0,290
False,4.0,3.0,4.0,4.0,34.0,3,13,0,$0.00,0,0,291
False,4.0,2.0,4.0,5.0,48.667,2,0,0,$0.00,0,0,292
False,5.0,4.0,3.0,2.0,20.0,0,0,0,$0.00,0,0,293
False,2.0,1.0,2.0,3.0,69.333,11,9,1,$715.00,1,2,294
False,3.0,2.0,4.0,4.0,50.667,1,2,0,$0.00,0,0,295
